source_x,source_y,source_z,target_x,target_y,target_z
0.0,0.0,0.0,1.023,2.018,2.995
1.2,0.1,0.0,2.223,2.115,2.992
0.05,0.98,0.02,1.053,2.998,2.993
-0.01,0.02,1.01,1.013,2.022,4.003
1.1,0.95,0.03,2.123,2.968,2.987
0.98,0.03,0.99,2.003,2.033,3.982
0.02,1.05,0.98,1.043,3.068,3.973
1.03,1.02,1.01,2.053,3.038,3.997
2.01,0.05,0.02,3.033,2.068,2.977
0.03,1.98,0.01,1.053,3.998,2.987
-0.5,0.5,0.5,0.523,2.518,3.487
1.8,-0.2,0.3,2.823,1.798,3.287
0.7,1.3,-0.1,1.723,3.318,2.897
-0.2,0.8,1.2,0.823,2.818,4.187
2.2,0.8,0.5,3.223,2.818,3.487
1.5,1.8,0.2,2.523,3.818,3.187
0.3,0.3,2.1,1.323,2.318,5.087
1.1,2.2,1.1,2.123,4.218,4.087
